model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,4432464224430073900.0,25,true,0.0,0.09344346312880716,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,7179043909987328000.0,25,true,0.0,0.08807805859389121,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,4210327001835109400.0,25,true,0.0,0.08220949725290408,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,4898716312282833900.0,25,true,0.0,0.07010110216718754,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,4725690850412381200.0,25,true,0.0,0.07993830624933887,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,5956375827241809900.0,25,true,0.0,0.08067565092063578,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,599260260783050750.0,30,true,0.0,0.06563725870008282,0.00001906718402686,0.00001107064418272,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,8151887465685377000.0,35,true,0.0,0.08064748768850785,0.00000664831598359,0.00000386009494453,2,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,5108037849753243600.0,35,true,0.0,0.07179861897927278,0.00000664831598359,0.00000386009494453,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,3165118706031121400.0,35,true,0.0,0.07040950180904364,0.00000664831598359,0.00000386009494453,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,3794282318118145000.0,30,true,0.0,0.06282760824352375,0.00001906718402686,0.00001107064418272,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,3413911939801646100.0,30,true,0.0,0.07527052796804586,0.00001906718402686,0.00001107064418272,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,5576601392690618400.0,35,true,0.0,0.07738492350516375,0.00000664831598359,0.00000386009494453,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,7500710846097874900.0,35,true,0.0,0.0819366320899282,0.00000664831598359,0.00000386009494453,2,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,7179043909987328000.0,30,true,0.0,0.06176564347124992,0.00001906718402686,0.00001107064418272,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,6603758411652679700.0,30,true,0.0,0.0620012780773183,0.00001906718402686,0.00001107064418272,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,4210327001835109400.0,35,true,0.0,0.0708670300729373,0.00000664831598359,0.00000386009494453,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,4432464224430073900.0,35,true,0.0,0.0651141319272751,0.00000664831598359,0.00000386009494453,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,4898716312282833900.0,35,true,0.0,0.08961252071358622,0.00000664831598359,0.00000386009494453,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,4725690850412381200.0,35,true,0.0,0.06193232773090136,0.00000664831598359,0.00000386009494453,1,4,0.19999999999999996,0.0
consensus,homogeneous,23,0,5,0.2,0.4,0.6,0.3,false,0.0,0.1,0.2,0.05,5956375827241809900.0,35,true,0.0,0.07517816077058635,0.00000664831598359,0.00000386009494453,1,4,0.19999999999999996,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,3165118706031121400.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,8151887465685377000.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,5108037849753243600.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,599260260783050750.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,3794282318118145000.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,3413911939801646100.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,5576601392690618400.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,7500710846097874900.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,7179043909987328000.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
