model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,4477927936947039200.0,20,true,0.0,0.07034061080037309,0.00000097531455031,0.00000067897818265,1,3,-0.2,0.0,0.3
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,7240713591891685400.0,75,true,0.0,0.16955097255859353,0.00006357645393909,0.00005386584412118,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,1841142524168585220.0,75,true,0.0,0.1703789009712119,0.00004041517060114,0.00002481841799777,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,4286360386944651300.0,75,true,0.0,0.16975869129708596,0.0000568452242665,0.00004402886253156,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,109591146466576384.0,80,true,0.0,0.17080669507849425,0.00004267162772995,0.00003737484682765,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,8803618445054126100.0,80,true,0.0,0.17006901996281795,0.00005400360336865,0.0000397474394531,2,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,5702577027890589700.0,80,true,0.0,0.1713485573224862,0.00002953032572784,0.00002259107104887,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,4692690466958798800.0,80,true,0.0,0.1707715226976679,0.0000405438634173,0.00003429979680543,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,7139002048363152400.0,80,true,0.0,0.17050127489745126,0.0000512583105149,0.00004651989008825,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,8636175130330607600.0,80,true,0.0,0.17120639901504045,0.00003679899319271,0.00003216212179948,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,4342572612484808700.0,85,true,0.0,0.17192726868858674,0.00002724302310445,0.0000244112693993,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,6905470370856337400.0,80,true,0.0,0.17092103724694366,0.00003384775523061,0.00002496378037564,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,7043372089166577700.0,85,true,0.0,0.17172086130013484,0.00002722410284391,0.00002209847064772,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,7139002048363152400.0,40,true,0.0,0.14032356088273784,0.00036118866431188,0.00016228489504357,1,3,0.0,0.0,1.0
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,4477927936947039200.0,85,true,0.0,0.17153539749476596,0.00003437202771286,0.00003230660179666,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,8636175130330607600.0,40,true,0.0,0.1409517697832005,0.0003365492079698,0.00015130089037901,1,3,0.0,0.0,1.0
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,6905470370856337400.0,40,true,0.0,0.13780131384258318,0.0005030036732252,0.00023377390387237,2,3,0.0,0.0,1.0
