model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,seed,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
bipolarization,heterogeneous,34,M33,bipol_dist_speak,true,true,4692690466958798800.0,0,0,0.1,0.2,0.5,0.1,0.01,0.01,0.03,0.0,35,0.01846828382201646,0.02703069100597794,0.01584684690158719,0.01843193581114968,2,3,0.3,0.0
bipolarization,heterogeneous,30,M28,bipol_ndist_nospeak,false,false,8636175130330607600.0,0,0,0.02,0.2,0.6,0.05,0.05,0.1,0.1,0.05,50,0.02593274109975132,0.06481699607067015,0.01844018814751444,0.01923471366362631,3,3,0.39999999999999997,0.0
consensus,homogeneous,2,H12,cons_dist_speak,true,true,7139002048363152400.0,0,0,0.005,0.0,0.0,0.0,0.01,0.0,0.0,0.0,15,0.00771504468878602,0.0421447445939155,0.0070454527013983,0.0062113063018924,3,3,0.0,0.0
bipolarization,heterogeneous,37,M36,bipol_ndist_nospeak,false,false,7240713591891685400.0,0,0,0.02,0.1,0.5,0.2,0.05,0.1,0.1,0.05,15,0.02855030368548523,0.04166666666666653,0.02855030368548523,0.01334445641146547,4,4,0.4,0.0
bipolarization,homogeneous,3,H14,bipol_dist_speak,true,true,7240713591891685400.0,0,0,0.02,0.3,0.7,0.05,0.0,0.02,0.02,0.02,15,0.00370154361175412,0.04237119363644803,0.00266015692716865,0.00180106314674146,2,2,0.39999999999999997,0.0
bipolarization,heterogeneous,41,M7,bipol_dist_nospeak,true,false,7240713591891685400.0,0,0,0.1,0.1,0.6,0.1,0.01,0.02,0.03,0.01,15,0.03543339668114619,0.05947796798814051,0.03547679371648482,0.02749740429649642,4,4,0.5,0.0
clustering,heterogeneous,30,M28,clst_dist_speak,true,true,6905470370856337400.0,0,0,0.02,0.5,0.0,0.0,0.005,0.0,0.0,0.0,25,0.02593274109975132,0.04732113570254827,0.01996169021315634,0.01103574394593135,3,3,0.0,0.0
clustering,heterogeneous,23,M20,clst_ndist_nospeak,false,false,8636175130330607600.0,0,0,0.005,0.2,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01619926630551272,0.03182698248171233,0.01613479366927221,0.01116765070409658,3,3,0.0,0.0
bipolarization,homogeneous,4,H15,bipol_ndist_speak,false,true,4692690466958798800.0,0,0,0.1,0.2,0.6,0.2,0.05,0.1,0.1,0.05,30,0.00240269204389574,0.03669811436400479,0.0000931443272842,0.00005059706799209,1,3,0.39999999999999997,0.0
bipolarization,homogeneous,8,H20,bipol_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.05,0.3,0.7,0.2,0.05,0.1,0.1,0.05,15,0.00048024369855967,0.0649971381037403,0.00012231451164793,0.00003968470266908,1,1,0.39999999999999997,0.0
