model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,pro_count,seed,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,12,M13,cons_dist_nospeak,true,false,0,8636175130330607600.0,0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,35,0.03278937715525453,0.18368684696111495,0.00005289402064249,0.0000193657315286,1,5,0.0,0.0
clustering,heterogeneous,15,M20,clst_ndist_speak,false,true,0,8636175130330607600.0,0,0.2,0.4,0.0,0.0,0.05,0.1,0.1,0.05,35,0.01619926630551272,0.15486115341375895,0.00002357930120567,0.00000548454703448,2,3,0.0,0.0
clustering,homogeneous,33,H15,clst_ndist_nospeak,false,false,0,7240713591891685400.0,0,0.5,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00240269204389574,0.04410486455504146,0.00000000006829704,0.00000000000000922,1,3,0.0,0.0
consensus,heterogeneous,9,M9,cons_ndist_speak,false,true,0,4692690466958798800.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.01965549714934841,0.10753128520096394,0.00000167210477325,0.00000099546484287,1,3,0.0,0.0
consensus,homogeneous,38,H19,cons_dist_speak,true,true,0,6905470370856337400.0,0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.00801496443234644,0.07985339821535804,0.00004644880167259,0.00000704181355161,1,3,0.0,0.0
consensus,homogeneous,10,H5,cons_dist_nospeak,true,false,0,6905470370856337400.0,0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,35,0.00413376628943758,0.07136382399903325,0.00012546936659984,0.00008237871815995,1,3,0.0,0.0
no_change,homogeneous,29,H14,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0
consensus,heterogeneous,43,M36,cons_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02855030368548523,0.18072881406936842,0.00000235677345512,0.00000001770104122,1,4,0.0,0.0
clustering,heterogeneous,27,M16,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.4,0.5,0.0,0.0,0.05,0.3,0.0,0.0,15,0.01252610529728226,0.15132371039884376,0.00000004787637034,0.0000000000643924,1,3,0.0,0.0
clustering,homogeneous,33,H15,clst_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.5,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00240269204389574,0.04410486455504146,0.00000000006829704,0.00000000000000922,1,3,0.0,0.0
no_change,heterogeneous,15,M20,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01619926630551272,0.0318287037037035,0.01619926630551272,0.01080637627886375,3,3,0.0,0.0
clustering,heterogeneous,2,M2,clst_ndist_speak,false,true,0,7240713591891685400.0,0,0.1,0.6,0.0,0.0,0.05,0.1,0.1,0.05,65,0.03720528978052128,0.16128964334450413,0.0000712663533327,0.00002778699002412,1,4,0.0,0.0
consensus,heterogeneous,43,M36,cons_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02855030368548523,0.18072881406936842,0.00000235677345512,0.00000001770104122,1,4,0.0,0.0
clustering,homogeneous,24,H12,clst_dist_nospeak,true,false,0,8636175130330607600.0,0,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.0,50,0.00771504468878602,0.08350253583311244,0.00047337283200492,0.00029685202648296,1,3,0.0,0.0
